Time Stamp,Nagalagam Street River,Nagalagam Street,Wellawatta Canal-St Peters College,Dematagoda Canal-Orugodawatta,Dehiwala,Parliament Lake Bridge-Kotte Canal,Parliament Lake-Out,Ambatale River,Ambatale Outfall,Salalihini-River,Salalihini-Canal,Kittampahuwa River,Kalupalama,Yakbedda,Heen Ela,Torrinton,Parliament Lake,Kotte North Canal,OUSL-Nawala Kirulapana Canal,Dehiwala Canal,Near SLLRDC,Kirimandala Mw,OUSL-Narahenpita Rd,Swarna Rd-Wellawatta,Mutwal Outfall,Thummodara,JanakalaKendraya,Kotiyagoda,LesliRanagala Mw,Babapulle,Ingurukade Jn,Amaragoda,Malabe,Madinnagoda,Kittampahuwa,Weliwala Pond,Old Awissawella Rd,Kelani Mulla Outfall,Wellampitiya,Talatel Culvert,Wennawatta,Vivekarama Mw,Koratuwa Rd,Harwad Band,Kibulawala 1,Parlimant Lake Side,Polduwa-Parlimant Rd,Aggona
2019-05-22 00:00:00,200,0.05,0.05,0.05,0.05,0.05,0.05,200,0.05,200,0.05,200,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2019-05-22 00:15:00,228.4272,-0.6468,6.3863,-0.3588,3.9116,-8.2999,-34.1683,14.8493,0.0182,1.2594,0.0594,113.015,0,-0.6734,-0.0113,-0.01,-15.1252,-12.7182,0.0592,3.9179,-0.1928,-0.002,4.3808,-1.5065,0.0489,6.4937,1.6846,-13.2701,-0.0414,0.834,-4.153,0,0,-10.9921,-0.0272,0,0,-0.0043,-0.0305,0,0,0,0,0.0023,0,0.0465,-27.1809,0.8124
2019-05-22 00:30:00,59.3296,8.2679,4.4837,0.7461,1.8413,-5.1925,-20.0843,22.7352,-0.002,17.5606,0.0266,55.3546,2.7863,-6.9648,1.6253,0.7436,-6.7867,-13.1949,-2.6029,1.8429,-0.8626,1.8633,1.9854,-0.1649,0.0369,3.8085,-0.0024,-10.0299,0.1517,2.4075,5.6941,0,0,-7.9821,2.028,0,0,0.0248,-0.0258,0,0,0,0,-0.007,0,0.0439,-22.2161,-0.5758
2019-05-22 00:45:00,47.238,6.8445,1.4148,-0.0452,0.8701,-4.2804,-10.131,106.0377,0.0006,63.9875,0.0172,46.4082,2.2418,-5.5256,1.3661,0.6806,-2.8095,-8.0188,-1.7662,0.8723,-0.753,1.4539,1.4955,0.2946,0.0024,1.7049,-0.1209,-8.5282,0.1128,2.8683,6.174,0,0,-8.1446,2.1953,0,0,-0.0066,0.4597,0,0,0,0,0.0029,0,0.028,-18.5781,0.2596
2019-05-22 01:00:00,-43.9158,1.2502,-0.7207,0.0366,-0.1421,-2.8121,-6.4875,139.1741,0,72.7792,0.0118,-31.61,0.4519,-3.8374,1.0617,0.4255,-0.943,-6.025,-1.8744,-0.1481,-0.3763,1.1218,-0.5599,-0.0789,0.0007,-0.627,0.0413,-6.4145,0.0409,1.8776,1.9827,0,0,-5.8822,1.6474,0,0,-0.0136,0.5238,0,0,0,0,0,0,0.0203,-12.2548,-0.1886
2019-05-22 01:15:00,-19.3259,0.3672,-2.3724,-1.7924,-0.6126,-2.2407,-4.5933,135.0891,-0.0001,41.4401,0.0081,22.9063,0,-2.6251,0.2489,0.1902,-1.0802,-3.6104,-2.3485,-0.6161,-0.3319,0.2663,-1.8574,-0.1654,0.0001,-1.9345,-0.1078,-3.9918,0.0421,0.424,0.143,0,0,-3.9442,0.624,0,0,-0.0062,0.4886,0,0,0,0,0.0086,0,0.0159,-10.0841,0.0629
2019-05-22 01:30:00,53.0859,-5.3855,-3.282,-2.3881,-0.992,-2.582,-3.2014,121.3949,-0.0001,109.4642,0.0055,60.7219,0,-2.3519,-0.0812,0.0117,-0.7674,-2.8218,-2.6193,-0.9959,-0.1858,-0.1031,-3.0057,-0.4056,-0.0006,-2.9265,-0.082,-2.1816,0.0006,0.9534,-4.8167,0,0,-2.3495,0.0394,0,0,-0.0123,0.3736,0,0,0,0,0.0055,0,0.0133,-5.5982,-0.0059
2019-05-22 01:45:00,118.408,-5.8884,-3.9662,-3.423,-1.2578,-2.7634,-3.154,107.2952,-0.0001,110.7634,0.0037,118.5282,0,-2.3815,-0.2706,-0.1027,-0.9484,-2.5994,-3.1932,-1.2617,-0.2243,-0.2868,-3.7374,-0.4971,-0.0028,-3.5914,-0.1274,-1.8036,-0.0245,0.1643,-5.7632,0,0,-1.8965,0.1074,0,0,0.0022,0.3427,0,0,0,0,-0.0082,0,0.0115,-3.9508,-0.0248
2019-05-22 02:00:00,127.6678,-4.4155,-4.5307,-4.4028,-1.4003,-3.1026,-3.4215,93.2722,-0,112.5396,0.0026,127.305,0,-2.7165,-0.2437,-0.0677,-0.9274,-2.8754,-3.6265,-1.4043,-0.2887,-0.2696,-4.3125,-0.6292,-0.0035,-4.1366,-0.1597,-2.0335,0.0084,0.0882,-4.1759,0,0,-2.1,-0.0492,0,0,0.0049,0.2559,0,0,0,0,0.0016,0,0.0102,-3.5548,-0.017
2019-05-22 02:15:00,122.0708,-2.708,-4.9932,-4.3526,-1.5281,-3.3861,-3.6116,79.4541,-0,109.5073,0.0024,124.3833,0,-3.4502,-0.362,-0.0984,-1.1565,-3.2687,-4.0608,-1.5321,-0.3793,-0.3848,-4.8223,-0.7113,-0.0139,-4.5708,-0.1769,-2.4666,-0.0211,1.1755,-2.7876,0,0,-2.7134,-0.0411,0,0,0.0021,0.1685,0,0,0,0,0.0081,0,0.0092,-4.0852,-0.0134
2019-05-22 02:30:00,98.9635,-2.9961,-5.397,-3.9128,-1.6347,-3.7083,-3.9843,65.4692,-0,91.0538,0.0022,104.3698,0,-3.7611,-0.4477,-0.1023,-0.9975,-3.6243,-4.3938,-1.6388,-0.4681,-0.4772,-5.2947,-0.8031,-0.0381,-4.9648,-0.2776,-3.166,0.0016,1.1009,-2.8456,0,0.0571,-3.4176,-0.0292,0,0,0.0034,0.0838,0,0,0,0,0.0103,0,0.0083,-4.7736,-0.0443
2019-05-22 02:45:00,72.3733,-4.248,-5.7804,-3.4241,-1.7327,-4.0233,-4.2791,51.0018,-0,70.5425,0.002,77.9079,0,-3.742,-0.5177,-0.1175,-1.0837,-4.0254,-4.7277,-1.7368,-0.4488,-0.5486,-5.7481,-0.8931,-0.0537,-5.3452,-0.299,-3.3871,-0.0011,1.2359,-4.284,0,0.2094,-3.5514,-0.0297,0,0,0.0026,0.0069,0,0,0,0,0.0068,0,0.0076,-5.3321,-0.0133
2019-05-22 03:00:00,46.5124,-3.5509,-6.1501,-4.3847,-1.8292,-4.328,-4.8169,33.9719,-0,49.103,0.0018,52.1507,0,-3.5369,-0.5932,-0.1271,-1.1115,-4.4205,-5.0782,-1.8333,-0.37,-0.6266,-6.1945,-0.9789,-0.07,-5.7098,-0.2878,-3.1608,-0.0023,0,-3.251,0,0.3383,-3.2539,-0.0309,0,0,0.0015,-0.0205,0,0,0,0,0.0011,0,0.0069,-5.7357,-0.0261
2019-05-22 03:15:00,15.485,-4.0197,-6.5104,-4.5671,-1.9228,-4.7345,-3.915,22.9813,-0,24.9069,0.0017,21.9937,0,-3.6562,-0.6574,-0.1321,-0.9812,-4.8287,-5.4315,-1.9269,-0.3088,-0.6934,-6.6243,-1.066,-0.0885,-6.0656,-0.2992,-2.9777,-0.0136,0.9962,-3.763,0,0.4282,-2.9944,-0.0352,0,0,0,-0.0217,0,0,0,0,-0.001,0,0.0064,-5.6315,-0.004
2019-05-22 03:30:00,-20.8103,-5.3203,-6.865,-3.874,-2.0163,-5.0225,-4.11,18.1557,-0,2.5238,0.0015,-10.1499,0,-3.9392,-0.7039,-0.1399,-0.7753,-5.0846,-5.8356,-2.0205,-0.3816,-0.7393,-7.0668,-1.1557,-0.109,-6.4207,-0.2641,-3.0752,-0.0156,1.3354,-5.162,0,0.4792,-3.2365,-0.0352,0,0,-0.0025,-0.0195,0,0,0,0,-0.0019,0,0.0059,-6.0791,-0.045
2019-05-22 03:45:00,-47.2641,-4.8122,-7.2229,-5.1926,-2.1102,-5.383,-4.0991,12.0982,-0,-6.189,0.0014,-34.1993,0,-3.7987,-0.7561,-0.1352,-0.7929,-5.4562,-6.1727,-2.1144,-0.4036,-0.7941,-7.497,-1.2452,-0.1316,-6.7755,-0.2788,-3.4042,0.0115,-0.4646,-4.4186,0,0.5057,-3.5277,-0.0377,0,0,-0.0044,-0.0177,0,0,0,0,-0.0013,0,0.0046,-6.4777,-0.0199
2019-05-22 04:00:00,-52.3141,-6.5907,-7.5705,-5.3734,-2.2058,-5.6869,-4.9686,7.6493,0.002,-8.2884,0.0012,-37.2073,0,-4.1113,-0.8273,-0.1428,-0.8825,-5.8521,-6.5292,-2.21,-0.3161,-0.8649,-7.9345,-1.3359,-0.1568,-7.1209,-0.2486,-3.1736,-0.0361,0.7931,-5.8152,0.1511,0.5181,-3.278,-0.0379,0,0,-0.0049,-0.0176,0,0,0,0,-0.0007,0,0.0048,-6.8676,-0.0362
2019-05-22 04:15:00,-34.8299,-8.0538,-6.0913,-5.2517,-0.8787,-6.0338,-4.8238,5.8064,0.0026,-5.773,0.0011,-27.5354,0,-4.4537,-0.9003,-0.1436,-0.9939,-6.1838,-6.8626,-0.8742,-0.4265,-0.9396,-8.1779,-1.6457,-0.0951,-6.4492,-0.2642,-3.5067,-0.0092,0.7962,-7.6785,0.313,0.5228,-3.6614,-0.0367,0,0,-0.003,-0.0176,0,0,-0,0,-0.0009,0,0.0049,-7.1072,-0.0321
2019-05-22 04:30:00,22.2095,-5.0907,-4.9705,-6.3592,-0.302,-6.2822,-5.0936,5.6744,0.0033,4.0477,0.001,20.0818,0,-4.5722,-0.7871,-0.1118,-1.028,-6.5316,-6.6726,-0.2962,-0.4565,-0.7957,-7.4743,-1.5235,0.0591,-5.513,-0.2524,-3.8624,-0.0215,-0.4683,-5.1342,0.4231,0.5235,-3.9743,-0.0357,0,0,0,-0.0179,0,0,-0,0,0,0,0.0042,-7.554,-0.0329
