Time Stamp,Nagalagam Street River,Nagalagam Street,Wellawatta Canal-St Peters College,Dematagoda Canal-Orugodawatta,Dehiwala,Parliament Lake Bridge-Kotte Canal,Parliament Lake-Out,Ambatale River,Ambatale Outfall,Salalihini-River,Salalihini-Canal,Kittampahuwa River,Kalupalama,Yakbedda,Heen Ela,Torrinton,Parliament Lake,Kotte North Canal,OUSL-Nawala Kirulapana Canal,Dehiwala Canal,Near SLLRDC,Kirimandala Mw,OUSL-Narahenpita Rd,Swarna Rd-Wellawatta,Mutwal Outfall,Thummodara,JanakalaKendraya,Kotiyagoda,LesliRanagala Mw,Babapulle,Ingurukade Jn,Amaragoda,Malabe,Madinnagoda,Kittampahuwa,Weliwala Pond,Old Awissawella Rd,Kelani Mulla Outfall,Wellampitiya,Talatel Culvert,Wennawatta,Vivekarama Mw,Koratuwa Rd,Harwad Band,Kibulawala 1,Parlimant Lake Side,Polduwa-Parlimant Rd,Aggona
2020-05-22 00:00:00,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.7,0.5,0.7,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,4.749,1.3533,0.7,0.7,0.9,0.7,0.7,0.7,2.62,1.28,0.7,0.7,0.7,1.4319,0.7,0.7,0.7
2020-05-22 00:15:00,0.409,0.6369,0.4992,0.6825,0.5283,0.5695,0.3688,1.1332,0.6172,0.2605,0.5905,0.4762,0.4836,0.7025,0.6995,0.7007,0.3873,0.527,0.6791,0.5199,0.6785,0.6987,0.6538,0.595,0.4818,0.5933,0.341,0.5331,0.7093,0.6728,0.6492,4.7992,1.3533,0.5894,0.673,0.7009,0.7,0.2643,0.6998,2.62,1.28,0.6999,0.7,0.6996,1.4319,0.6032,0.4733,0.4937
2020-05-22 00:30:00,0.2853,0.6683,0.4743,0.6872,0.4564,0.5461,0.4147,1.9783,1.7616,0.3528,0.502,0.2578,0.2657,0.7024,0.5892,0.6225,0.4138,0.4853,0.5616,0.4517,0.6374,0.5827,0.551,0.5156,0.5174,0.5191,0.4088,0.4697,0.6828,0.6812,0.674,4.8009,1.3533,0.5012,0.6581,0.7004,0.7,0.3573,0.6806,2.62,1.28,0.6826,0.7,0.6909,1.4319,0.5438,0.4389,0.5103
2020-05-22 00:45:00,0.3725,0.6618,0.4648,0.6705,0.4513,0.5019,0.4342,2.6688,2.447,0.7268,0.4424,0.363,0.3702,0.7022,0.5421,0.5603,0.4314,0.4822,0.5101,0.4481,0.5869,0.5375,0.5126,0.481,0.5503,0.4852,0.4257,0.4755,0.6711,0.6745,0.6625,4.8064,1.3533,0.4611,0.6496,0.7004,0.7,0.7121,0.6662,2.62,1.28,0.6697,0.7,0.6832,1.4319,0.5019,0.4609,0.452
2020-05-22 01:00:00,0.6659,0.6759,0.4603,0.6584,0.4578,0.4707,0.4487,2.7115,2.5127,1.1023,0.4221,0.715,0.59,0.7019,0.4902,0.5132,0.4478,0.4459,0.4789,0.456,0.5492,0.4857,0.4742,0.4598,0.5569,0.462,0.4446,0.4436,0.6448,0.6538,0.6655,4.812,1.3533,0.4511,0.6433,0.7004,0.7,1.0834,0.6556,2.62,1.28,0.6589,0.7,0.674,1.4319,0.4742,0.4438,0.4666
2020-05-22 01:15:00,0.7465,0.654,0.4616,0.6413,0.4568,0.4633,0.4509,2.6097,2.4257,1.34,0.4225,0.8236,0.6634,0.7017,0.4707,0.4814,0.4496,0.4562,0.457,0.456,0.5216,0.4686,0.46,0.4609,0.5599,0.4614,0.4489,0.4538,0.6326,0.6452,0.6509,4.8183,1.3533,0.4548,0.6575,0.7004,0.7,1.324,0.6526,2.62,1.28,0.6526,0.7,0.6644,1.4319,0.4573,0.4558,0.4505
2020-05-22 01:30:00,0.6761,0.6605,0.4566,0.6596,0.4604,0.4584,0.4523,2.5279,2.3525,1.4478,0.4232,0.7963,0.6535,0.7015,0.457,0.4632,0.4523,0.4537,0.4567,0.46,0.5066,0.4566,0.4565,0.4544,0.5613,0.4545,0.4513,0.4539,0.614,0.6658,0.6627,4.8259,1.3533,0.4538,0.6557,0.7004,0.7004,1.4294,0.6591,2.62,1.28,0.6563,0.7001,0.6591,1.4319,0.45,0.4544,0.4578
2020-05-22 01:45:00,0.6716,0.6472,0.4606,0.6456,0.4614,0.4576,0.4535,2.4603,2.2915,1.4742,0.4253,0.7947,0.6605,0.7024,0.4574,0.4595,0.4533,0.455,0.4567,0.462,0.5055,0.457,0.4569,0.4596,0.5584,0.4596,0.4505,0.4552,0.6313,0.6477,0.6398,4.8345,1.3533,0.4551,0.659,0.7004,0.7033,1.4551,0.6583,2.62,1.28,0.6576,0.7001,0.659,1.4333,0.4498,0.4553,0.4549
2020-05-22 02:00:00,0.6797,0.6711,0.4628,0.6459,0.4647,0.4592,0.4533,2.4059,2.2406,1.4599,0.4256,0.7995,0.6587,0.702,0.4614,0.4614,0.4533,0.4558,0.4588,0.4652,0.5081,0.4611,0.4597,0.4616,0.5428,0.4615,0.4512,0.4557,0.6273,0.651,0.6685,4.8454,1.3533,0.4563,0.6586,0.7004,0.7037,1.4416,0.6586,2.62,1.28,0.6589,0.7001,0.659,1.4333,0.4508,0.4556,0.4552
2020-05-22 02:15:00,0.6782,0.6472,0.4653,0.6443,0.467,0.4601,0.4541,2.3645,2.2012,1.4321,0.4259,0.7953,0.6585,0.7017,0.464,0.4648,0.4542,0.4561,0.4615,0.4676,0.5054,0.4636,0.4622,0.4645,0.5533,0.4641,0.4521,0.4556,0.6175,0.6568,0.6513,4.8655,1.3533,0.4559,0.6586,0.7004,0.7039,1.4144,0.6588,2.62,1.28,0.6585,0.7001,0.6592,1.4333,0.4516,0.4559,0.4566
2020-05-22 02:30:00,0.6705,0.6272,0.4674,0.6274,0.4689,0.4616,0.4547,2.3362,2.1743,1.4018,0.4262,0.7839,0.6587,0.7015,0.4654,0.4663,0.4546,0.4575,0.463,0.4694,0.5082,0.465,0.4637,0.4665,0.5463,0.4661,0.4528,0.4567,0.6205,0.6303,0.6422,4.8833,1.4783,0.4564,0.6587,0.7004,0.7041,1.3847,0.6589,2.62,1.28,0.6587,0.7001,0.6591,1.4333,0.4523,0.4569,0.4575
2020-05-22 02:45:00,0.6632,0.645,0.469,0.6403,0.4709,0.4625,0.4559,2.3187,2.1577,1.3734,0.4264,0.7723,0.6587,0.7013,0.4665,0.4675,0.4559,0.4587,0.4636,0.4714,0.5067,0.4661,0.4646,0.4677,0.5458,0.4672,0.4538,0.4579,0.61,0.6429,0.6432,4.9028,1.5708,0.4577,0.6587,0.7004,0.7043,1.3565,0.6589,2.62,1.28,0.6587,0.7001,0.659,1.4333,0.4533,0.4582,0.4579
2020-05-22 03:00:00,0.6567,0.6209,0.4706,0.626,0.4727,0.4633,0.4568,2.3067,2.1465,1.3489,0.4266,0.7619,0.6587,0.7012,0.4668,0.4681,0.457,0.4594,0.4647,0.4733,0.5072,0.4665,0.4655,0.4691,0.5435,0.4685,0.4549,0.4588,0.6176,0.6263,0.6269,4.9254,1.6178,0.459,0.6587,0.7004,0.7046,1.3323,0.6589,2.62,1.28,0.6587,0.7001,0.659,1.4333,0.4544,0.4591,0.4596
2020-05-22 03:15:00,0.6503,0.6522,0.4574,0.6312,0.4568,0.4645,0.458,2.2993,2.1395,1.3285,0.4268,0.7533,0.6588,0.701,0.4681,0.469,0.4579,0.4607,0.4655,0.455,0.5076,0.4678,0.4651,0.4665,0.5325,0.4643,0.4559,0.4601,0.6132,0.6359,0.6526,4.9495,1.643,0.4601,0.6587,0.7004,0.7048,1.3121,0.6588,2.62,1.28,0.6588,0.7001,0.659,1.4333,0.4556,0.4603,0.46
2020-05-22 03:30:00,0.6286,0.6261,0.4375,0.6268,0.433,0.465,0.4591,2.2971,2.1372,1.3127,0.427,0.7359,0.6588,0.701,0.4653,0.4693,0.4594,0.4615,0.4612,0.4307,0.5047,0.4644,0.4579,0.4477,0.5355,0.4477,0.4571,0.461,0.6044,0.6385,0.6315,4.973,1.6567,0.4611,0.6587,0.7004,0.7049,1.2964,0.6589,2.62,1.28,0.6588,0.7001,0.659,1.4333,0.4567,0.4612,0.4616
