name,curw_obs_id,coefficient
C_01A,100081,0.16
C_01A,100042,0.84
C_01B,100089,0.06
C_01B,100042,0.45
C_01B,100087,0.49
C_01C,100087,0.35
C_01C,100089,0.65
C_01D,100087,0.05
C_01D,100042,0.26
C_01D,100089,0.69
C_02A,100089,0.02
C_02A,100082,0.21
C_02A,100042,0.77
C_02B,100089,0.05
C_02B,100082,0.17
C_02B,100043,0.78
C_02C,100042,0.43
C_02C,100082,0.57
C_02D,100082,1.00
C_02E,100089,0.33
C_02E,100082,0.67
C_03,100042,0.09
C_03,100089,0.91
C_04,100056,0.06
C_04,100091,0.11
C_04,100043,0.83
C_05,100043,0.13
C_05,100091,0.30
C_05,100089,0.56
C_06,100091,0.11
C_06,100056,0.89
C_07,100056,0.07
C_07,100043,0.15
C_07,100091,0.78
C_08,100091,1.00
C_09A,100091,1.00
C_09B,100091,1.00
C_09C,100089,0.29
C_09C,100091,0.71
C_09D,100089,0.38
C_09D,100091,0.62
C_09D2,100091,0.25
C_09D2,100089,0.75
C_10,100091,1.00
C_11,100091,0.09
C_11,100056,0.33
C_11,100038,0.58
C_12,100038,0.33
C_12,100091,0.67
C_13,100038,0.11
C_13,100091,0.89
C_14,100091,1.00
C_15,100091,1.00
C_16,100091,1.00
C_17,100091,1.00
C_18,100091,1.00
C_19,100091,1.00
C_19A,100091,1.00
C_20,100091,1.00
C_21,100091,1.00
C_22,100087,0.01
C_22,100091,0.49
C_22,100089,0.50
C_23,100089,0.33
C_23,100087,0.67
C_24,100091,1.00
C_25,100038,0.11
C_25,100091,0.89
C_25A,100038,0.12
C_25A,100091,0.88
C_25B,100091,1.00
C_26,100091,0.29
C_26,100038,0.71
C_27A,100038,1.00
C_27B,100091,0.25
C_27B,100038,0.75
C_28,100038,1.00
C_28A,100038,1.00
C_29,100038,1.00
C_29C,100038,1.00
C_30,100038,1.00
C_31,100038,1.00
C_32,100088,0.15
C_32,100038,0.85
C_33,100038,1.00
C1,100088,1.00
C10,100088,1.00
C11,100088,1.00
C12,100088,1.00
C13,100038,1.00
C14,100088,0.19
C14,100038,0.81
C15,100038,0.09
C15,100088,0.91
C16,100038,0.09
C16,100088,0.91
C17,100038,0.19
C17,100088,0.31
C17,100056,0.50
C18,100038,0.13
C18,100056,0.87
C19,100056,1.00
C2,100088,1.00
C20,100088,1.00
C21,100088,1.00
C22,100088,1.00
C23,100056,0.47
C23,100088,0.53
C24,100088,0.39
C24,100056,0.61
C25,100056,1.00
C26,100056,1.00
C27,100056,1.00
C28,100056,1.00
C29,100056,1.00
C3,100088,1.00
C30,100056,1.00
C31,100056,1.00
C32,100056,1.00
C33,100056,1.00
C34,100056,1.00
C35,100056,1.00
C36,100056,1.00
C37,100056,1.00
C38,100056,1.00
C39,100056,1.00
C4,100038,0.25
C4,100088,0.75
C40,100056,1.00
C41,100056,1.00
C42,100043,0.11
C42,100056,0.89
C43,100056,1.00
C44,100056,1.00
C45,100056,1.00
C46,100056,1.00
C47,100056,1.00
C48,100056,1.00
C49,100056,1.00
C5,100088,1.00
C50,100056,1.00
C51,100056,1.00
C52,100056,1.00
C53,100056,1.00
C54,100084,0.42
C54,100056,0.58
C55,100056,1.00
C56,100084,0.31
C56,100056,0.69
C57,100084,0.08
C57,100056,0.92
C58,100056,1.00
C59,100056,1.00
C6,100088,0.50
C6,100038,0.50
C60,100056,1.00
C61,100084,0.10
C61,100056,0.90
C62,100084,0.09
C62,100056,0.91
C63,100056,1.00
C7,100088,1.00
C8,100088,1.00
C9,100088,1.00
Madiwela,100056,0.02
Madiwela,100043,0.17
Madiwela,100084,0.20
Madiwela,100082,0.61
