time,obs
"2019-10-23 23:40:00",0.000
"2019-10-24 00:00:00",0.000
"2019-10-24 00:15:00",0.000
"2019-10-24 00:30:00",0.000
"2019-10-24 00:40:00",0.000
"2019-10-24 01:00:00",0.000
"2019-10-24 01:15:00",0.000
"2019-10-24 01:30:00",0.000
"2019-10-24 01:40:00",0.000
"2019-10-24 02:00:00",0.000
"2019-10-24 02:15:00",0.000
"2019-10-24 02:30:00",0.000
"2019-10-24 02:40:00",0.000
"2019-10-24 03:00:00",0.000
"2019-10-24 03:15:00",0.000
"2019-10-24 03:30:00",0.000
"2019-10-24 03:40:00",0.000
"2019-10-24 04:00:00",0.000
"2019-10-24 04:15:00",0.000
"2019-10-24 04:30:00",0.000
"2019-10-24 04:40:00",0.000
"2019-10-24 05:00:00",0.000
"2019-10-24 05:15:00",0.000
"2019-10-24 05:30:00",0.000
"2019-10-24 05:40:00",0.000
"2019-10-24 06:00:00",0.000
"2019-10-24 06:15:00",0.000
"2019-10-24 06:30:00",0.000
"2019-10-24 06:40:00",0.000
"2019-10-24 07:00:00",0.000
"2019-10-24 07:15:00",0.000
"2019-10-24 07:30:00",0.000
"2019-10-24 07:40:00",0.000
"2019-10-24 08:00:00",0.000
"2019-10-24 08:15:00",0.000
"2019-10-24 08:30:00",0.000
"2019-10-24 08:40:00",0.000
"2019-10-24 09:00:00",0.000
"2019-10-24 09:15:00",0.000
"2019-10-24 09:30:00",0.000
"2019-10-24 09:40:00",0.000
"2019-10-24 10:00:00",0.000
"2019-10-24 10:15:00",0.000
"2019-10-24 10:30:00",0.000
"2019-10-24 10:40:00",0.000
"2019-10-24 11:00:00",2.600
"2019-10-24 11:15:00",6.000
"2019-10-24 11:30:00",5.000
"2019-10-24 11:40:00",6.400
"2019-10-24 12:00:00",2.400
"2019-10-24 12:15:00",1.800
"2019-10-24 12:30:00",1.400
"2019-10-24 12:40:00",0.400
"2019-10-24 13:00:00",0.200
"2019-10-24 13:15:00",0.400
"2019-10-24 13:30:00",0.200
"2019-10-24 13:40:00",0.000
"2019-10-24 14:00:00",0.000
"2019-10-24 14:15:00",0.000
"2019-10-24 14:30:00",0.000
"2019-10-24 14:40:00",0.000
"2019-10-24 15:00:00",0.000
"2019-10-24 15:15:00",0.000
"2019-10-24 15:30:00",0.000
"2019-10-24 15:40:00",0.000
"2019-10-24 16:00:00",0.000
"2019-10-24 16:15:00",0.000
"2019-10-24 16:30:00",0.000
"2019-10-24 16:40:00",0.000
"2019-10-24 17:00:00",0.000
"2019-10-24 17:15:00",0.000
"2019-10-24 17:30:00",0.000
"2019-10-24 17:40:00",0.000
"2019-10-24 18:00:00",0.000
"2019-10-24 18:15:00",0.000
"2019-10-24 18:30:00",0.000
"2019-10-24 18:40:00",0.000
"2019-10-24 19:00:00",0.000
"2019-10-24 19:15:00",0.000
"2019-10-24 19:30:00",0.000
"2019-10-24 19:40:00",0.000
"2019-10-24 20:00:00",0.000
"2019-10-24 20:15:00",0.000
"2019-10-24 20:30:00",0.000
"2019-10-24 20:40:00",0.000
"2019-10-24 21:00:00",0.000
"2019-10-24 21:15:00",0.000
"2019-10-24 21:30:00",0.000
"2019-10-24 21:40:00",0.000
"2019-10-24 22:00:00",0.000
"2019-10-24 22:15:00",0.000
"2019-10-24 22:30:00",0.000
"2019-10-24 22:40:00",0.000
"2019-10-24 23:00:00",0.000
"2019-10-24 23:15:00",0.000
"2019-10-24 23:30:00",0.000
"2019-10-24 23:40:00",0.000
"2019-10-25 00:00:00",0.000
"2019-10-25 00:15:00",0.000
"2019-10-25 00:30:00",0.000
"2019-10-25 00:40:00",0.000
"2019-10-25 01:00:00",0.000
"2019-10-25 01:15:00",0.000
"2019-10-25 01:30:00",0.000
"2019-10-25 01:40:00",0.000
"2019-10-25 02:00:00",0.000
"2019-10-25 02:15:00",0.000
"2019-10-25 02:30:00",0.000
"2019-10-25 02:40:00",0.000
"2019-10-25 03:00:00",0.000
"2019-10-25 03:15:00",0.000
"2019-10-25 03:30:00",0.000
"2019-10-25 03:40:00",0.000
"2019-10-25 04:00:00",0.000
"2019-10-25 04:15:00",0.000
"2019-10-25 04:30:00",0.000
"2019-10-25 04:40:00",0.000
"2019-10-25 05:00:00",0.000
"2019-10-25 05:15:00",0.000
"2019-10-25 05:30:00",0.000
"2019-10-25 05:40:00",0.000
"2019-10-25 06:00:00",0.000
"2019-10-25 06:15:00",0.000
"2019-10-25 06:30:00",0.000
"2019-10-25 06:40:00",0.000
"2019-10-25 07:00:00",0.000
"2019-10-25 07:15:00",0.000
"2019-10-25 07:30:00",0.000
"2019-10-25 07:40:00",0.000
"2019-10-25 08:00:00",0.000
"2019-10-25 08:15:00",0.000
"2019-10-25 08:30:00",0.000
"2019-10-25 08:40:00",0.000
"2019-10-25 09:00:00",0.000
